--------------------------------------------------------------------------------------------------------------------------
Frequent Itemset Summary

Data File: ..\..\mushroom-bin.data

Total number of frequent itemsets generated: 24035

Number of frequent itemsets of length 1: 39
Number of frequent itemsets of length 2: 312
Number of frequent itemsets of length 3: 1127
Number of frequent itemsets of length 4: 2467
Number of frequent itemsets of length 5: 3801
Number of frequent itemsets of length 6: 4544
Number of frequent itemsets of length 7: 4437
Number of frequent itemsets of length 8: 3534
Number of frequent itemsets of length 9: 2224
Number of frequent itemsets of length 10: 1067
Number of frequent itemsets of length 11: 376
Number of frequent itemsets of length 12: 92
Number of frequent itemsets of length 13: 14
Number of frequent itemsets of length 14: 1



Total number of candidate frequent itemsets generated: 24834

Number of candidate frequent itemsets of length 1: 124
Number of candidate frequent itemsets of length 2: 720
Number of candidate frequent itemsets of length 3: 1337
Number of candidate frequent itemsets of length 4: 2538
Number of candidate frequent itemsets of length 5: 3822
Number of candidate frequent itemsets of length 6: 4548
Number of candidate frequent itemsets of length 7: 4437
Number of candidate frequent itemsets of length 8: 3534
Number of candidate frequent itemsets of length 9: 2224
Number of candidate frequent itemsets of length 10: 1067
Number of candidate frequent itemsets of length 11: 376
Number of candidate frequent itemsets of length 12: 92
Number of candidate frequent itemsets of length 13: 14
Number of candidate frequent itemsets of length 14: 1



Total time taken to generate frequent itemsets: 291742 ms
--------------------------------------------------------------------------------------------------------------------------
                                           Frequent Itemset                                                            Occurrence              Support
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,veil-color_w,ring-number_o                              1736             0.21368784
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,veil-color_w,ring-type_p                                1840             0.22648941
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,veil-color_w,habitat_d                                  1728             0.21270311
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,ring-number_o,ring-type_p                               1736             0.21368784
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,ring-number_o,habitat_d                                 1728             0.21270311
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,ring-type_p,habitat_d                                   1728             0.21270311
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,veil-color_w,ring-number_o,ring-type_p                              1736             0.21368784
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,veil-color_w,ring-number_o,habitat_d                                1728             0.21270311
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,veil-color_w,ring-type_p,habitat_d                                  1728             0.21270311
bruises,odor_n,stalk-root_b,stalk-surface-below-ring_s,ring-number_o,ring-type_p,habitat_d                                 1728             0.21270311
bruises,odor_n,stalk-root_b,veil-type_p,veil-color_w,ring-number_o,ring-type_p                                             1736             0.21368784
bruises,odor_n,stalk-root_b,veil-type_p,veil-color_w,ring-number_o,habitat_d                                               1728             0.21270311
bruises,odor_n,stalk-root_b,veil-type_p,veil-color_w,ring-type_p,habitat_d                                                 1728             0.21270311
bruises,odor_n,stalk-root_b,veil-type_p,ring-number_o,ring-type_p,habitat_d                                                1728             0.21270311
bruises,odor_n,stalk-root_b,veil-color_w,ring-number_o,ring-type_p,habitat_d                                               1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p,veil-color_w,ring-number_o                1736             0.21368784
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p,veil-color_w,ring-type_p                  1840             0.22648941
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p,veil-color_w,habitat_d                    1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p,ring-number_o,ring-type_p                 1736             0.21368784
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p,ring-number_o,habitat_d                   1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p,ring-type_p,habitat_d                     1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-color_w,ring-number_o,ring-type_p                1736             0.21368784
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-color_w,ring-number_o,habitat_d                  1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-color_w,ring-type_p,habitat_d                    1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-number_o,ring-type_p,habitat_d                   1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,veil-type_p,veil-color_w,ring-number_o,ring-type_p                               1736             0.21368784
bruises,odor_n,stalk-surface-above-ring_s,veil-type_p,veil-color_w,ring-number_o,habitat_d                                 1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,veil-type_p,veil-color_w,ring-type_p,habitat_d                                   1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,veil-type_p,ring-number_o,ring-type_p,habitat_d                                  1728             0.21270311
bruises,odor_n,stalk-surface-above-ring_s,veil-color_w,ring-number_o,ring-type_p,habitat_d                                 1728             0.21270311
bruises,odor_n,stalk-surface-below-ring_s,veil-type_p,veil-color_w,ring-number_o,ring-type_p                               1736             0.21368784
bruises,odor_n,stalk-surface-below-ring_s,veil-type_p,veil-color_w,ring-number_o,habitat_d                                 1728             0.21270311
bruises,odor_n,stalk-surface-below-ring_s,veil-type_p,veil-color_w,ring-type_p,habitat_d                                   1728             0.21270311
bruises,odor_n,stalk-surface-below-ring_s,veil-type_p,ring-number_o,ring-type_p,habitat_d                                  1728             0.21270311
bruises,odor_n,stalk-surface-below-ring_s,veil-color_w,ring-number_o,ring-type_p,habitat_d                                 1728             0.21270311
bruises,odor_n,veil-type_p,veil-color_w,ring-number_o,ring-type_p,habitat_d                                                1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-root_b,stalk-surface-below-ring_s                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-root_b,veil-type_p                                2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-root_b,veil-color_w                               2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-root_b,ring-number_o                              2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-root_b,ring-type_p                                2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-root_b,habitat_d                                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,stalk-surface-below-ring_s   1800             0.22156574
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,veil-type_p                  1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,veil-color_w                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,ring-number_o                1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,ring-type_p                  1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,habitat_d                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-below-ring_s,veil-type_p                  1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-below-ring_s,veil-color_w                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-below-ring_s,ring-number_o                1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-below-ring_s,ring-type_p                  1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-below-ring_s,habitat_d                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,veil-type_p,veil-color_w                                2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,veil-type_p,ring-number_o                               2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,veil-type_p,ring-type_p                                 2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,veil-type_p,habitat_d                                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,veil-color_w,ring-number_o                              2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,veil-color_w,ring-type_p                                2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,veil-color_w,habitat_d                                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,ring-number_o,ring-type_p                               2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,ring-number_o,habitat_d                                 1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-shape_t,ring-type_p,habitat_d                                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s    1904             0.23436731
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-above-ring_s,veil-type_p                   1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-above-ring_s,veil-color_w                  1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-above-ring_s,ring-number_o                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-above-ring_s,ring-type_p                   1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-above-ring_s,habitat_d                     1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-below-ring_s,veil-type_p                   1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-below-ring_s,veil-color_w                  1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-below-ring_s,ring-number_o                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-below-ring_s,ring-type_p                   1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-below-ring_s,habitat_d                     1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,veil-type_p,veil-color_w                                 2120             0.26095518
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,veil-type_p,ring-number_o                                2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,veil-type_p,ring-type_p                                  2120             0.26095518
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,veil-type_p,habitat_d                                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,veil-color_w,ring-number_o                               2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,veil-color_w,ring-type_p                                 2120             0.26095518
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,veil-color_w,habitat_d                                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,ring-number_o,ring-type_p                                2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,ring-number_o,habitat_d                                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-root_b,ring-type_p,habitat_d                                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p     2608             0.32102412
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-color_w    2608             0.32102412
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-number_o   2312             0.28458887
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-type_p     2416             0.29739046
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,habitat_d       1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,veil-type_p,veil-color_w                   2872             0.35352042
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,veil-type_p,ring-number_o                  2576             0.31708518
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,veil-type_p,ring-type_p                    2680             0.32988676
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,veil-type_p,habitat_d                      1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,veil-color_w,ring-number_o                 2576             0.31708518
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,veil-color_w,ring-type_p                   2680             0.32988676
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,veil-color_w,habitat_d                     1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,ring-number_o,ring-type_p                  2576             0.31708518
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,ring-number_o,habitat_d                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,ring-type_p,habitat_d                      1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,veil-type_p,veil-color_w                   2680             0.32988676
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,veil-type_p,ring-number_o                  2384             0.2934515
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,veil-type_p,ring-type_p                    2488             0.30625308
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,veil-type_p,habitat_d                      1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,veil-color_w,ring-number_o                 2384             0.2934515
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,veil-color_w,ring-type_p                   2488             0.30625308
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,veil-color_w,habitat_d                     1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,ring-number_o,ring-type_p                  2384             0.2934515
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,ring-number_o,habitat_d                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,ring-type_p,habitat_d                      1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-color-above-ring_w,veil-type_p,veil-color_w                     1768             0.21762678
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-color-above-ring_w,veil-type_p,ring-type_p                      1672             0.20580995
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-color-above-ring_w,veil-color_w,ring-type_p                     1672             0.20580995
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-color-below-ring_w,veil-type_p,veil-color_w                     1768             0.21762678
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-color-below-ring_w,veil-type_p,ring-type_p                      1672             0.20580995
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,stalk-color-below-ring_w,veil-color_w,ring-type_p                     1672             0.20580995
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,veil-type_p,veil-color_w,ring-number_o                                2720             0.33481044
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,veil-type_p,veil-color_w,ring-type_p                                  2824             0.34761202
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,veil-type_p,veil-color_w,habitat_d                                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,veil-type_p,ring-number_o,ring-type_p                                 2720             0.33481044
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,veil-type_p,ring-number_o,habitat_d                                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,veil-type_p,ring-type_p,habitat_d                                     1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,veil-color_w,ring-number_o,ring-type_p                                2720             0.33481044
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,veil-color_w,ring-number_o,habitat_d                                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,veil-color_w,ring-type_p,habitat_d                                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,gill-size_b,ring-number_o,ring-type_p,habitat_d                                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s  1800             0.22156574
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s,veil-type_p                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s,veil-color_w                1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s,ring-number_o               1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s,ring-type_p                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s,habitat_d                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-below-ring_s,veil-type_p                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-below-ring_s,veil-color_w                1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-below-ring_s,ring-number_o               1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-below-ring_s,ring-type_p                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-below-ring_s,habitat_d                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,veil-type_p,veil-color_w                               2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,veil-type_p,ring-number_o                              2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,veil-type_p,ring-type_p                                2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,veil-type_p,habitat_d                                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,veil-color_w,ring-number_o                             2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,veil-color_w,ring-type_p                               2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,veil-color_w,habitat_d                                 1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,ring-number_o,ring-type_p                              2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,ring-number_o,habitat_d                                1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-root_b,ring-type_p,habitat_d                                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p   1800             0.22156574
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-color_w  1800             0.22156574
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-number_o 1800             0.22156574
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-type_p   1800             0.22156574
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,stalk-surface-below-ring_s,habitat_d     1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,veil-type_p,veil-color_w                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,veil-type_p,ring-number_o                1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,veil-type_p,ring-type_p                  1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,veil-type_p,habitat_d                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,veil-color_w,ring-number_o               1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,veil-color_w,ring-type_p                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,veil-color_w,habitat_d                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,ring-number_o,ring-type_p                1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,ring-number_o,habitat_d                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,ring-type_p,habitat_d                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,veil-type_p,veil-color_w                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,veil-type_p,ring-number_o                1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,veil-type_p,ring-type_p                  1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,veil-type_p,habitat_d                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,veil-color_w,ring-number_o               1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,veil-color_w,ring-type_p                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,veil-color_w,habitat_d                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,ring-number_o,ring-type_p                1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,ring-number_o,habitat_d                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,ring-type_p,habitat_d                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,veil-type_p,veil-color_w,ring-number_o                              2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,veil-type_p,veil-color_w,ring-type_p                                2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,veil-type_p,veil-color_w,habitat_d                                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,veil-type_p,ring-number_o,ring-type_p                               2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,veil-type_p,ring-number_o,habitat_d                                 1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,veil-type_p,ring-type_p,habitat_d                                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,veil-color_w,ring-number_o,ring-type_p                              2016             0.24815361
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,veil-color_w,ring-number_o,habitat_d                                1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,veil-color_w,ring-type_p,habitat_d                                  1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-shape_t,ring-number_o,ring-type_p,habitat_d                                 1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p    1904             0.23436731
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-color_w   1904             0.23436731
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-number_o  1800             0.22156574
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-type_p    1904             0.23436731
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s,habitat_d      1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,veil-type_p,veil-color_w                  1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,veil-type_p,ring-number_o                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,veil-type_p,ring-type_p                   1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,veil-type_p,habitat_d                     1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,veil-color_w,ring-number_o                1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,veil-color_w,ring-type_p                  1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,veil-color_w,habitat_d                    1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,ring-number_o,ring-type_p                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,ring-number_o,habitat_d                   1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,ring-type_p,habitat_d                     1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,veil-color_w                  1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,ring-number_o                 1872             0.23042837
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,ring-type_p                   1976             0.24322994
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,veil-type_p,habitat_d                     1728             0.21270311
bruises,gill-attachment_f,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,veil-color_w,ring-number_o                1872             0.23042837
